,cnn1d_shuffle_train,cnn1d_shuffle_valid,cnn1d_shuffle_test,cnn1d_noshuffle_train,cnn1d_noshuffle_valid,cnn1d_noshuffle_test,cnn1d_parallel_shuffle_train,cnn1d_parallel_shuffle_valid,cnn1d_parallel_shuffle_test,cnn1d_parallel_noshuffle_train,cnn1d_parallel_noshuffle_valid,cnn1d_parallel_noshuffle_test,cnn1d_residual_shuffle_train,cnn1d_residual_shuffle_valid,cnn1d_residual_shuffle_test,cnn1d_residual_noshuffle_train,cnn1d_residual_noshuffle_valid,cnn1d_residual_noshuffle_test,XGBoost_shuffle_train,XGBoost_shuffle_valid,XGBoost_shuffle_test,XGBoost_noshuffle_train,XGBoost_noshuffle_valid,XGBoost_noshuffle_test,SVM_shuffle_train,SVM_shuffle_valid,SVM_shuffle_test,SVM_noshuffle_train,SVM_noshuffle_valid,SVM_noshuffle_test,ANN_shuffle_train,ANN_shuffle_valid,ANN_shuffle_test,ANN_noshuffle_train,ANN_noshuffle_valid,ANN_noshuffle_test
binary_6,0.992,0.984,0.916,0.989,0.96,0.918,0.997,0.994,0.925,0.989,0.976,0.925,0.992,0.984,0.92,0.987,0.946,0.889,0.997,0.99,0.912,0.992,0.952,0.905,0.97,0.944,0.924,0.977,0.972,0.927,0.991,0.98,0.918,0.957,0.945,0.905
multi_6,1.0,0.899,0.597,0.962,0.736,0.781,0.884,0.793,0.776,0.857,0.736,0.656,0.897,0.854,0.761,0.816,0.736,0.8,0.981,0.893,0.756,1.0,0.782,0.681,0.869,0.81,0.681,0.886,0.815,0.686,0.912,0.86,0.741,0.895,0.809,0.731
2-6_6,0.985,0.964,0.966,0.984,0.899,0.959,0.985,0.95,0.966,0.97,0.907,0.946,0.971,0.964,0.919,0.95,0.932,0.919,0.99,0.978,0.932,0.995,0.924,0.899,0.957,0.914,0.818,0.957,0.949,0.825,0.961,0.95,0.919,0.984,0.949,0.912
1-6_6,1.0,0.944,0.833,0.883,0.693,0.902,0.985,0.888,0.819,0.996,0.88,0.798,0.825,0.877,0.833,0.826,0.773,0.826,0.947,0.888,0.868,0.908,0.773,0.812,0.918,0.888,0.854,0.943,0.786,0.826,0.962,0.911,0.847,0.933,0.866,0.826
1-2_6,0.997,0.913,0.779,0.904,0.863,0.724,0.981,0.905,0.733,0.907,0.827,0.697,0.871,0.874,0.77,0.876,0.872,0.706,0.979,0.905,0.788,0.964,0.89,0.743,0.902,0.881,0.715,0.912,0.89,0.688,0.947,0.897,0.779,0.912,0.9,0.743
binary_7,0.993,0.987,0.969,0.986,0.954,0.959,0.992,0.986,0.989,0.989,0.981,0.969,0.978,0.974,0.973,0.983,0.945,0.971,0.994,0.984,0.983,0.983,0.952,0.942,0.969,0.966,0.986,0.986,0.968,0.973,0.98,0.975,0.983,0.966,0.957,0.981
multi_7,1.0,0.926,0.655,1.0,0.926,0.655,1.0,0.912,0.655,0.86,0.736,0.567,0.89,0.885,0.655,0.85,0.759,0.557,0.984,0.865,0.667,0.972,0.79,0.589,0.883,0.859,0.636,0.888,0.813,0.633,0.935,0.859,0.686,0.839,0.744,0.51
2-6_7,0.981,0.953,0.932,0.997,0.891,0.906,0.987,0.976,0.927,0.967,0.855,0.891,0.968,0.961,0.953,0.965,0.909,0.886,0.971,0.938,0.839,0.995,0.873,0.808,0.966,0.938,0.829,0.965,0.945,0.854,0.976,0.938,0.683,0.982,0.882,0.87
1-6_7,1.0,0.955,0.739,1.0,0.807,0.756,0.935,0.838,0.615,0.915,0.842,0.717,0.965,0.882,0.756,0.867,0.719,0.692,0.95,0.911,0.662,0.966,0.789,0.688,0.925,0.955,0.722,0.943,0.754,0.645,0.955,0.97,0.739,0.896,0.771,0.799
1-2_7,0.993,0.882,0.779,1.0,0.9,0.668,0.973,0.921,0.725,0.977,0.866,0.71,0.94,0.901,0.715,0.927,0.911,0.649,0.927,0.882,0.635,0.949,0.866,0.729,0.884,0.892,0.554,0.898,0.844,0.549,0.911,0.901,0.748,0.844,0.833,0.573
binary_5,0.993,0.987,0.969,0.977,0.929,0.918,0.975,0.977,0.955,0.983,0.957,0.915,0.977,0.974,0.946,0.974,0.929,0.939,0.995,0.987,0.796,0.995,0.987,0.796,0.971,0.936,0.936,0.975,0.966,0.918,0.975,0.968,0.927,0.978,0.967,0.915
multi_5,1.0,0.905,0.344,0.89,0.788,0.37,0.831,0.78,0.465,0.855,0.723,0.646,0.871,0.835,0.456,0.817,0.817,0.362,0.998,0.87,0.612,0.969,0.852,0.612,0.861,0.86,0.405,0.864,0.817,0.405,0.879,0.835,0.112,0.837,0.858,0.551
2-6_5,0.997,0.986,0.572,0.997,0.976,0.553,0.995,0.98,0.582,0.985,0.968,0.417,0.98,0.973,0.601,0.974,0.968,0.708,0.969,0.947,0.33,0.968,0.984,0.368,0.962,0.947,0.417,0.96,0.945,0.456,0.942,0.953,0.689,0.966,0.984,0.64
1-6_5,1.0,0.909,0.439,0.92,0.843,0.327,0.892,0.848,0.448,0.779,0.626,0.196,0.902,0.858,0.514,0.833,0.891,0.429,0.922,0.838,0.42,0.936,0.843,0.766,0.902,0.898,0.813,0.916,0.746,0.841,0.929,0.868,0.13,0.878,0.879,0.775
1-2_5,1.0,0.892,0.409,0.937,0.882,0.318,0.957,0.859,0.409,0.899,0.867,0.409,0.946,0.845,0.363,0.937,0.875,0.318,0.973,0.859,0.363,0.944,0.945,0.409,0.908,0.865,0.409,0.905,0.835,0.409,0.946,0.879,0.454,0.931,0.89,0.545
